*,01_January,02_February,03_March,04_April,05_May,06_June,07_July,08_August,09_September,10_October,11_November,12_December,
01_January,*,0.0942,_,_,0.1042,-0.1007,_,_,_,_,_,0.1661,
02_February,0.0942,*,_,_,_,-0.195,-0.1617,-0.1607,_,-0.1295,_,_,
03_March,_,_,*,_,_,-0.184,-0.1507,-0.1498,_,-0.1185,_,_,
04_April,_,_,_,*,_,-0.152,-0.1187,-0.1178,_,_,_,0.1148,
05_May,0.1042,_,_,_,*,-0.2049,-0.1717,-0.1707,-0.0941,-0.1394,_,_,
06_June,-0.1007,-0.195,-0.184,-0.152,-0.2049,*,_,_,0.1108,_,0.1949,0.2668,
07_July,_,-0.1617,-0.1507,-0.1187,-0.1717,_,*,_,0.0775,_,0.1616,0.2335,
08_August,_,-0.1607,-0.1498,-0.1178,-0.1707,_,_,*,_,_,0.1607,0.2326,
09_September,_,_,_,_,-0.0941,0.1108,0.0775,_,*,_,_,0.156,
10_October,_,-0.1295,-0.1185,_,-0.1394,_,_,_,_,*,0.1294,0.2013,
11_November,_,_,_,_,_,0.1949,0.1616,0.1607,_,0.1294,*,_,
12_December,0.1661,_,_,0.1148,_,0.2668,0.2335,0.2326,0.156,0.2013,_,*
